month,recommended_channel,accounts_targeted,contacted
2026-01,FIELD,1554,396
2026-01,SMS,1561,397
2026-01,VOICE,1503,376
2026-01,WHATSAPP,1573,393
2026-02,FIELD,1443,369
2026-02,SMS,1342,335
2026-02,VOICE,1392,342
2026-02,WHATSAPP,1393,363
2026-03,FIELD,1521,382
2026-03,SMS,1574,407
2026-03,VOICE,1485,378
2026-03,WHATSAPP,1547,397
2026-04,FIELD,1593,408
2026-04,SMS,1485,392
2026-04,VOICE,1466,379
2026-04,WHATSAPP,1492,398
2026-05,FIELD,1530,390
2026-05,SMS,1583,405
2026-05,VOICE,1652,452
2026-05,WHATSAPP,1519,370
2026-06,FIELD,1521,395
2026-06,SMS,1499,385
2026-06,VOICE,1501,379
2026-06,WHATSAPP,1482,388
2026-07,FIELD,1532,406
2026-07,SMS,1492,396
2026-07,VOICE,1524,366
2026-07,WHATSAPP,1530,403
2026-08,FIELD,384,96
2026-08,SMS,394,105
2026-08,VOICE,393,108
2026-08,WHATSAPP,424,98
