month,dpd_bucket,n_payments,recovered
2026-01,0,235,18296112.72
2026-01,1-30,877,66218447.46
2026-01,31-60,457,35244441.11
2026-01,61-90,452,33551677.96
2026-01,90+,443,33918448.34
2026-02,0,204,14672776.68
2026-02,1-30,796,58918408.28
2026-02,31-60,416,32882498.12
2026-02,61-90,423,31571634.72
2026-02,90+,429,32097135.96
2026-03,0,231,17165183.38
2026-03,1-30,960,72338379.4
2026-03,31-60,458,33788904.41
2026-03,61-90,450,33311207.77
2026-03,90+,425,32308699.06
2026-04,0,231,17010021.25
2026-04,1-30,834,60954358.31
2026-04,31-60,522,38225801.71
2026-04,61-90,423,31102992.81
2026-04,90+,396,27844869.33
2026-05,0,216,16289707.05
2026-05,1-30,878,66770688.26
2026-05,31-60,455,33120801.46
2026-05,61-90,451,34727557.9
2026-05,90+,449,33341523.830000002
2026-06,0,208,14343710.12
2026-06,1-30,862,63371693.16
2026-06,31-60,472,35234727.91
2026-06,61-90,408,30953776.26
2026-06,90+,416,31655819.52
2026-07,0,202,14729292.36
2026-07,1-30,884,67295847.56
2026-07,31-60,457,34993438.84
2026-07,61-90,452,35821527.09
2026-07,90+,446,34402159.23
2026-08,0,60,4955127.5200000005
2026-08,1-30,216,15671968.27
2026-08,31-60,115,9286469.52
2026-08,61-90,105,7695281.86
2026-08,90+,120,9500848.14
