month,state,n_payments,recovered
2026-01,Delhi,238,17427361.09
2026-01,Haryana,216,15517646.73
2026-01,Karnataka,204,15071051.61
2026-01,Maharashtra,436,33811738.96
2026-01,Odisha,226,17569744.44
2026-01,Rajasthan,226,17292202.93
2026-01,Tamil Nadu,234,18146327.65
2026-01,Telangana,277,20433351.09
2026-01,West Bengal,206,16104640.93
2026-02,Delhi,206,15810677.33
2026-02,Haryana,204,15293811.7
2026-02,Karnataka,236,18011549.14
2026-02,Maharashtra,409,31761477.63
2026-02,Odisha,227,15508536.52
2026-02,Rajasthan,197,14692781.72
2026-02,Tamil Nadu,198,14159248.51
2026-02,Telangana,208,15913654.83
2026-02,West Bengal,187,13404462.0
2026-03,Delhi,225,16724532.65
2026-03,Haryana,237,17914091.91
2026-03,Karnataka,218,16971098.41
2026-03,Maharashtra,469,35729969.9
2026-03,Odisha,227,16168025.27
2026-03,Rajasthan,231,18003443.97
2026-03,Tamil Nadu,206,14623447.31
2026-03,Telangana,245,17613598.45
2026-03,West Bengal,244,18191529.45
2026-04,Delhi,235,16105757.51
2026-04,Haryana,232,16921169.71
2026-04,Karnataka,223,16562025.92
2026-04,Maharashtra,420,32113772.52
2026-04,Odisha,238,17085282.32
2026-04,Rajasthan,198,13634758.16
2026-04,Tamil Nadu,212,16000302.28
2026-04,Telangana,240,17857403.71
2026-04,West Bengal,213,14764375.13
2026-05,Delhi,241,17324026.92
2026-05,Haryana,188,13781381.959999999
2026-05,Karnataka,211,16298200.45
2026-05,Maharashtra,446,33601835.57
2026-05,Odisha,245,18793888.59
2026-05,Rajasthan,241,19639265.21
2026-05,Tamil Nadu,233,16960994.37
2026-05,Telangana,243,18351576.58
2026-05,West Bengal,212,15616871.52
2026-06,Delhi,231,17879514.08
2026-06,Haryana,190,13932128.15
2026-06,Karnataka,221,16223368.22
2026-06,Maharashtra,446,31963037.75
2026-06,Odisha,237,18083967.22
2026-06,Rajasthan,200,15193459.47
2026-06,Tamil Nadu,210,15626809.61
2026-06,Telangana,222,17516591.99
2026-06,West Bengal,228,16440236.05
2026-07,Delhi,235,18208563.83
2026-07,Haryana,226,17390372.13
2026-07,Karnataka,201,16745828.19
2026-07,Maharashtra,472,36289357.38
2026-07,Odisha,236,17947678.72
2026-07,Rajasthan,199,14983166.22
2026-07,Tamil Nadu,221,16530227.27
2026-07,Telangana,236,18004263.4
2026-07,West Bengal,193,15285262.55
2026-08,Delhi,52,4762191.97
2026-08,Haryana,52,3371642.07
2026-08,Karnataka,53,4430560.22
2026-08,Maharashtra,129,10281360.37
2026-08,Odisha,56,4165055.52
2026-08,Rajasthan,53,3799592.7600000002
2026-08,Tamil Nadu,58,3811603.84
2026-08,Telangana,69,5449724.38
2026-08,West Bengal,47,3112740.0
