month,loan_type,n_payments,recovered
2026-01,AUTO,501,38389026.44
2026-01,BNPL,490,37803070.09
2026-01,CONSUMER,508,38545246.2
2026-01,CREDIT_CARD,493,38029564.43
2026-01,PERSONAL,472,34462220.43
2026-02,AUTO,471,34416222.13
2026-02,BNPL,414,31685570.78
2026-02,CONSUMER,456,33629951.42
2026-02,CREDIT_CARD,472,36391149.29
2026-02,PERSONAL,455,34019560.14
2026-03,AUTO,520,38658064.33
2026-03,BNPL,479,35295730.53
2026-03,CONSUMER,515,38372524.9
2026-03,CREDIT_CARD,502,38978246.97
2026-03,PERSONAL,508,37607807.29
2026-04,AUTO,502,36617992.0
2026-04,BNPL,489,35659973.59
2026-04,CONSUMER,472,34063112.7
2026-04,CREDIT_CARD,481,34714591.99
2026-04,PERSONAL,462,34082373.13
2026-05,AUTO,494,37776303.35
2026-05,BNPL,467,34566167.089999996
2026-05,CONSUMER,515,40297042.51
2026-05,CREDIT_CARD,491,36402578.57
2026-05,PERSONAL,482,35208186.98
2026-06,AUTO,457,34438191.55
2026-06,BNPL,463,32983380.5
2026-06,CONSUMER,488,35937093.02
2026-06,CREDIT_CARD,488,36836642.97
2026-06,PERSONAL,470,35364418.93
2026-07,AUTO,482,37427003.71
2026-07,BNPL,482,37257306.36
2026-07,CONSUMER,492,37367170.8
2026-07,CREDIT_CARD,496,37395281.77
2026-07,PERSONAL,489,37795502.44
2026-08,AUTO,132,10210399.18
2026-08,BNPL,131,10188804.05
2026-08,CONSUMER,120,8764509.790000001
2026-08,CREDIT_CARD,120,9895157.63
2026-08,PERSONAL,113,8050824.66
