month,risk_segment,n_payments,recovered
2026-01,HIGH,629,48244020.67
2026-01,LOW,611,45440930.21
2026-01,MEDIUM,626,47682701.2
2026-01,NPA,598,45861475.51
2026-02,HIGH,537,41641034.13
2026-02,LOW,554,41989569.24
2026-02,MEDIUM,601,43914580.84
2026-02,NPA,576,42597269.55
2026-03,HIGH,618,48172166.0
2026-03,LOW,646,47079655.67
2026-03,MEDIUM,612,45636660.17
2026-03,NPA,648,48023892.18
2026-04,HIGH,556,41506700.79
2026-04,LOW,662,47038152.01
2026-04,MEDIUM,608,43879742.14
2026-04,NPA,580,42713448.47
2026-05,HIGH,654,49333069.45
2026-05,LOW,617,45686818.57
2026-05,MEDIUM,605,44932642.51
2026-05,NPA,573,44297747.97
2026-06,HIGH,600,44931826.97
2026-06,LOW,600,43513786.27
2026-06,MEDIUM,617,45911578.77
2026-06,NPA,549,41202534.96
2026-07,HIGH,603,44438757.09
2026-07,LOW,630,49956487.04
2026-07,MEDIUM,615,48183354.27
2026-07,NPA,593,44663666.68
2026-08,HIGH,167,13330659.19
2026-08,LOW,147,10152434.08
2026-08,MEDIUM,138,10368823.95
2026-08,NPA,164,13257778.09
