month,vendor_id,n_calls,answered
2025-12,VND0000013,1,0
2026-01,VND0000001,804,152
2026-01,VND0000002,744,153
2026-01,VND0000003,809,148
2026-01,VND0000004,787,160
2026-01,VND0000005,783,159
2026-01,VND0000006,745,137
2026-01,VND0000007,815,145
2026-01,VND0000008,789,162
2026-01,VND0000009,764,139
2026-01,VND0000010,815,172
2026-01,VND0000011,775,170
2026-01,VND0000012,737,145
2026-01,VND0000013,732,166
2026-01,VND0000014,789,163
2026-01,VND0000015,788,172
2026-02,VND0000001,677,136
2026-02,VND0000002,739,142
2026-02,VND0000003,715,135
2026-02,VND0000004,671,124
2026-02,VND0000005,759,152
2026-02,VND0000006,713,149
2026-02,VND0000007,705,145
2026-02,VND0000008,713,147
2026-02,VND0000009,738,126
2026-02,VND0000010,717,151
2026-02,VND0000011,675,143
2026-02,VND0000012,711,132
2026-02,VND0000013,681,126
2026-02,VND0000014,706,145
2026-02,VND0000015,746,157
2026-03,VND0000001,768,158
2026-03,VND0000002,816,149
2026-03,VND0000003,786,183
2026-03,VND0000004,779,134
2026-03,VND0000005,818,156
2026-03,VND0000006,782,162
2026-03,VND0000007,762,144
2026-03,VND0000008,775,152
2026-03,VND0000009,785,161
2026-03,VND0000010,782,140
2026-03,VND0000011,802,161
2026-03,VND0000012,854,171
2026-03,VND0000013,771,167
2026-03,VND0000014,754,166
2026-03,VND0000015,838,169
2026-04,VND0000001,744,125
2026-04,VND0000002,744,138
2026-04,VND0000003,747,146
2026-04,VND0000004,742,153
2026-04,VND0000005,738,136
2026-04,VND0000006,733,151
2026-04,VND0000007,766,150
2026-04,VND0000008,709,143
2026-04,VND0000009,771,144
2026-04,VND0000010,803,169
2026-04,VND0000011,780,148
2026-04,VND0000012,742,148
2026-04,VND0000013,769,142
2026-04,VND0000014,749,153
2026-04,VND0000015,734,133
2026-05,VND0000001,834,162
2026-05,VND0000002,778,162
2026-05,VND0000003,764,157
2026-05,VND0000004,765,149
2026-05,VND0000005,775,138
2026-05,VND0000006,802,166
2026-05,VND0000007,775,149
2026-05,VND0000008,771,153
2026-05,VND0000009,731,157
2026-05,VND0000010,810,165
2026-05,VND0000011,752,148
2026-05,VND0000012,759,155
2026-05,VND0000013,749,166
2026-05,VND0000014,812,206
2026-05,VND0000015,821,150
2026-06,VND0000001,708,155
2026-06,VND0000002,723,146
2026-06,VND0000003,736,147
2026-06,VND0000004,764,154
2026-06,VND0000005,750,156
2026-06,VND0000006,725,143
2026-06,VND0000007,748,151
2026-06,VND0000008,745,146
2026-06,VND0000009,744,156
2026-06,VND0000010,758,166
2026-06,VND0000011,777,172
2026-06,VND0000012,798,140
2026-06,VND0000013,734,158
2026-06,VND0000014,734,146
2026-06,VND0000015,740,146
2026-07,VND0000001,772,151
2026-07,VND0000002,741,154
2026-07,VND0000003,723,140
2026-07,VND0000004,763,142
2026-07,VND0000005,732,150
2026-07,VND0000006,757,171
2026-07,VND0000007,802,147
2026-07,VND0000008,734,134
2026-07,VND0000009,798,138
2026-07,VND0000010,805,159
2026-07,VND0000011,806,150
2026-07,VND0000012,784,168
2026-07,VND0000013,780,144
2026-07,VND0000014,805,144
2026-07,VND0000015,774,152
2026-08,VND0000001,215,44
2026-08,VND0000002,180,35
2026-08,VND0000003,204,35
2026-08,VND0000004,205,41
2026-08,VND0000005,209,41
2026-08,VND0000006,195,36
2026-08,VND0000007,193,36
2026-08,VND0000008,200,37
2026-08,VND0000009,168,39
2026-08,VND0000010,208,38
2026-08,VND0000011,210,36
2026-08,VND0000012,185,34
2026-08,VND0000013,197,37
2026-08,VND0000014,210,52
2026-08,VND0000015,184,35
