payment_id,account_id,borrower_id,event_at,payment_reference,amount,payment_status,payment_method,provider_id,audited_recovery,rejection_reason
PAYMENT0008644,ACC0003318,BRW0008843,2026-01-01 00:27:39,TXN0000062945,94128.59,REVERSED,CASH,VND0000005,0,NON_SUCCESS_STATUS
PAYMENT0002693,ACC0014449,BRW0001005,2026-01-01 00:41:58,TXN0000042163,101870.25,SUCCESS,CARD,VND0000009,0,AMBIGUOUS_REFERENCE
PAYMENT0004607,ACC0018164,BRW0008851,2026-01-01 00:44:12,TXN0000022605,63882.71,FAILED,UPI,VND0000009,0,NON_SUCCESS_STATUS
PAYMENT0000307,ACC0026311,BRW0004699,2026-01-01 00:46:12,TXN0000047736,68439.57,FAILED,CASH,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0008443,ACC0005569,BRW0009161,2026-01-01 01:21:07,TXN0000040452,81954.29,SUCCESS,CARD,VND0000010,0,AMBIGUOUS_REFERENCE
PAYMENT0020533,ACC0002164,BRW0005627,2026-01-01 01:21:45,TXN0000046927,74524.8,SUCCESS,CASH,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0018250,ACC0022477,BRW0004233,2026-01-01 01:33:19,TXN0000014551,23224.76,PENDING,CARD,VND0000010,0,NON_SUCCESS_STATUS
PAYMENT0010455,ACC0002916,BRW0009449,2026-01-01 01:42:55,TXN0000039783,14211.83,SUCCESS,NACH,VND0000011,0,AMBIGUOUS_REFERENCE
PAYMENT0010896,ACC0007568,BRW0001031,2026-01-01 03:18:23,TXN0000067995,47173.69,PENDING,NETBANKING,VND0000015,0,NON_SUCCESS_STATUS
PAYMENT0019351,ACC0002101,BRW0005329,2026-01-01 03:23:35,TXN0000000720,144785.25,FAILED,NETBANKING,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0020194,ACC0013024,BRW0000808,2026-01-01 03:58:00,TXN0000034300,112139.21,PENDING,CARD,VND0000003,0,NON_SUCCESS_STATUS
PAYMENT0001673,ACC0020007,BRW0002744,2026-01-01 04:01:14,TXN0000045765,31873.27,PENDING,CASH,VND0000008,0,NON_SUCCESS_STATUS
PAYMENT0013883,ACC0017694,BRW0000270,2026-01-01 04:15:47,TXN0000054580,148923.71,FAILED,UPI,VND0000003,0,NON_SUCCESS_STATUS
PAYMENT0008918,ACC0025342,BRW0000223,2026-01-01 04:25:40,TXN0000037604,129926.36,SUCCESS,NACH,VND0000001,0,AMBIGUOUS_REFERENCE
PAYMENT0017163,ACC0006017,BRW0006731,2026-01-01 04:45:59,TXN0000026178,44410.74,PENDING,NACH,VND0000009,0,NON_SUCCESS_STATUS
PAYMENT0009550,ACC0009344,BRW0003026,2026-01-01 05:11:34,TXN0000009469,130597.53,FAILED,CASH,VND0000006,0,NON_SUCCESS_STATUS
PAYMENT0009338,ACC0001849,BRW0005676,2026-01-01 06:09:44,TXN0000032940,57465.36,SUCCESS,NETBANKING,VND0000003,0,AMBIGUOUS_REFERENCE
PAYMENT0018074,ACC0004593,BRW0000505,2026-01-01 07:37:16,TXN0000033349,45768.74,SUCCESS,NETBANKING,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0013597,ACC0019094,BRW0000220,2026-01-01 08:56:15,TXN0000005210,139732.82,REVERSED,CARD,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0021251,ACC0008308,BRW0010650,2026-01-01 08:57:10,TXN0000012188,47408.9,SUCCESS,UPI,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0008926,ACC0024696,BRW0005404,2026-01-01 09:40:11,TXN0000000808,51440.29,SUCCESS,NACH,VND0000012,0,AMBIGUOUS_REFERENCE
PAYMENT0022563,ACC0029491,BRW0000168,2026-01-01 09:43:10,TXN0000045414,96840.65,SUCCESS,CASH,VND0000009,0,AMBIGUOUS_REFERENCE
PAYMENT0021285,ACC0000549,BRW0008739,2026-01-01 09:48:41,TXN0000009278,58317.85,PENDING,CASH,VND0000013,0,NON_SUCCESS_STATUS
PAYMENT0000919,ACC0016966,BRW0010245,2026-01-01 10:17:36,TXN0000049457,40006.94,SUCCESS,NACH,VND0000010,0,AMBIGUOUS_REFERENCE
PAYMENT0017407,ACC0024371,BRW0009416,2026-01-01 10:18:19,TXN0000049876,72862.68,SUCCESS,NETBANKING,VND0000003,0,AMBIGUOUS_REFERENCE
PAYMENT0003184,ACC0018638,BRW0000266,2026-01-01 10:48:43,TXN0000013820,94524.48,SUCCESS,UPI,VND0000005,0,AMBIGUOUS_REFERENCE
PAYMENT0019759,ACC0020024,BRW0003967,2026-01-01 10:51:33,TXN0000049086,3041.68,FAILED,NETBANKING,VND0000006,0,NON_SUCCESS_STATUS
PAYMENT0009789,ACC0017555,BRW0011085,2026-01-01 10:52:26,TXN0000067308,74979.91,SUCCESS,CASH,VND0000005,0,AMBIGUOUS_REFERENCE
PAYMENT0021695,ACC0019939,BRW0009125,2026-01-01 11:16:07,TXN0000060908,121327.54,PENDING,NACH,VND0000005,0,NON_SUCCESS_STATUS
PAYMENT0015662,ACC0001433,BRW0010397,2026-01-01 12:15:57,TXN0000041482,103551.53,PENDING,CASH,VND0000014,0,NON_SUCCESS_STATUS
PAYMENT0005933,ACC0012718,BRW0011349,2026-01-01 12:38:35,TXN0000057195,135246.26,REVERSED,NACH,VND0000015,0,NON_SUCCESS_STATUS
PAYMENT0007474,ACC0026206,BRW0007144,2026-01-01 12:43:43,TXN0000052484,30955.44,PENDING,UPI,VND0000015,0,NON_SUCCESS_STATUS
PAYMENT0020999,ACC0004575,BRW0009924,2026-01-01 12:44:10,TXN0000021361,28703.83,FAILED,UPI,VND0000007,0,NON_SUCCESS_STATUS
PAYMENT0005930,ACC0011803,BRW0004014,2026-01-01 13:03:29,TXN0000036359,29018.57,SUCCESS,CARD,VND0000006,0,AMBIGUOUS_REFERENCE
PAYMENT0012029,ACC0019846,BRW0000738,2026-01-01 14:10:08,TXN0000060636,49054.1,SUCCESS,NETBANKING,VND0000013,0,AMBIGUOUS_REFERENCE
