month,agent_id,attempts,answered,rpc_calls,ptp_calls,talk_seconds,contact_rate,rpc_rate,ptp_rate,session_hours,descriptive_only
2026-01,AGT0000001,23,4,0.0,0.0,8301.0,0.17391304347826086,0.0,,11.568055555555556,1
2026-01,AGT0000002,14,2,1.0,0.0,2388.0,0.14285714285714285,0.5,0.0,14.341388888888888,1
2026-01,AGT0000003,16,2,0.0,0.0,5324.0,0.125,0.0,,0.9233333333333333,1
2026-01,AGT0000004,18,2,0.0,0.0,4073.0,0.1111111111111111,0.0,,5.494722222222222,1
2026-01,AGT0000005,21,4,0.0,0.0,4072.0,0.19047619047619047,0.0,,8.498055555555556,1
2026-01,AGT0000006,19,5,0.0,0.0,6109.0,0.2631578947368421,0.0,,1.093888888888889,1
2026-01,AGT0000007,9,1,0.0,0.0,2352.0,0.1111111111111111,0.0,,,1
2026-01,AGT0000008,16,2,0.0,0.0,6359.0,0.125,0.0,,,1
2026-01,AGT0000009,18,2,0.0,0.0,5483.0,0.1111111111111111,0.0,,30.316388888888888,1
2026-01,AGT0000010,13,2,1.0,1.0,6537.0,0.15384615384615385,0.5,1.0,19.596944444444443,1
2026-01,AGT0000011,14,0,1.0,0.0,4306.0,0.0,,0.0,3.4869444444444446,1
2026-01,AGT0000012,22,2,0.0,0.0,5859.0,0.09090909090909091,0.0,,8.88861111111111,1
2026-01,AGT0000013,20,0,1.0,0.0,6785.0,0.0,,0.0,16.513888888888886,1
2026-01,AGT0000014,13,4,0.0,0.0,3881.0,0.3076923076923077,0.0,,34.694722222222225,1
2026-01,AGT0000015,12,2,0.0,0.0,2299.0,0.16666666666666666,0.0,,19.46388888888889,1
2026-01,AGT0000016,13,3,0.0,0.0,7391.0,0.23076923076923078,0.0,,,1
2026-01,AGT0000017,22,3,1.0,0.0,3806.0,0.13636363636363635,0.3333333333333333,0.0,17.146944444444443,1
2026-01,AGT0000018,14,2,0.0,0.0,3950.0,0.14285714285714285,0.0,,,1
2026-01,AGT0000019,15,3,1.0,1.0,6900.0,0.2,0.3333333333333333,1.0,27.50138888888889,1
2026-01,AGT0000020,17,5,1.0,1.0,2031.0,0.29411764705882354,0.2,1.0,7.480277777777777,1
2026-01,AGT0000021,22,6,0.0,0.0,8082.0,0.2727272727272727,0.0,,2.81,1
2026-01,AGT0000022,15,4,1.0,0.0,6363.0,0.26666666666666666,0.25,0.0,3.5219444444444443,1
2026-01,AGT0000023,14,3,0.0,0.0,4603.0,0.21428571428571427,0.0,,26.46888888888889,1
2026-01,AGT0000024,15,3,1.0,0.0,6945.0,0.2,0.3333333333333333,0.0,11.97638888888889,1
2026-01,AGT0000025,10,3,1.0,0.0,5521.0,0.3,0.3333333333333333,0.0,15.03638888888889,1
2026-01,AGT0000026,21,2,0.0,0.0,6419.0,0.09523809523809523,0.0,,42.327222222222225,1
2026-01,AGT0000027,19,8,0.0,0.0,2119.0,0.42105263157894735,0.0,,15.716666666666669,1
2026-01,AGT0000028,14,3,0.0,0.0,3836.0,0.21428571428571427,0.0,,1.2544444444444445,1
2026-01,AGT0000029,20,4,0.0,0.0,5675.0,0.2,0.0,,7.208333333333333,1
2026-01,AGT0000030,26,5,1.0,0.0,4979.0,0.19230769230769232,0.2,0.0,8.668888888888889,1
2026-01,AGT0000031,17,3,0.0,0.0,3807.0,0.17647058823529413,0.0,,8.301111111111112,1
2026-01,AGT0000032,21,6,1.0,0.0,4999.0,0.2857142857142857,0.16666666666666666,0.0,3.4694444444444446,1
2026-01,AGT0000033,15,6,1.0,0.0,7672.0,0.4,0.16666666666666666,0.0,27.002222222222223,1
2026-01,AGT0000034,18,0,0.0,0.0,6121.0,0.0,,,3.620833333333333,1
2026-01,AGT0000035,15,2,1.0,1.0,6999.0,0.13333333333333333,0.5,1.0,3.3555555555555556,1
2026-01,AGT0000036,16,1,2.0,2.0,13036.0,0.0625,2.0,1.0,18.435833333333335,1
2026-01,AGT0000037,15,4,0.0,0.0,4355.0,0.26666666666666666,0.0,,12.202777777777778,1
2026-01,AGT0000038,25,5,1.0,0.0,6964.0,0.2,0.2,0.0,18.983333333333334,1
2026-01,AGT0000039,18,5,2.0,0.0,4946.0,0.2777777777777778,0.4,0.0,16.3975,1
2026-01,AGT0000040,11,7,0.0,0.0,6838.0,0.6363636363636364,0.0,,5.533888888888889,1
2026-01,AGT0000041,18,1,0.0,0.0,7092.0,0.05555555555555555,0.0,,12.924166666666666,1
2026-01,AGT0000042,13,2,0.0,0.0,3564.0,0.15384615384615385,0.0,,4.993333333333333,1
2026-01,AGT0000043,12,2,2.0,1.0,4244.0,0.16666666666666666,1.0,0.5,19.938055555555557,1
2026-01,AGT0000044,14,5,0.0,0.0,5951.0,0.35714285714285715,0.0,,,1
2026-01,AGT0000045,12,3,1.0,1.0,9969.0,0.25,0.3333333333333333,1.0,13.708333333333332,1
2026-01,AGT0000046,23,6,0.0,0.0,5726.0,0.2608695652173913,0.0,,10.527777777777779,1
2026-01,AGT0000047,22,7,0.0,0.0,6814.0,0.3181818181818182,0.0,,10.734444444444444,1
2026-01,AGT0000048,15,2,2.0,1.0,6402.0,0.13333333333333333,1.0,0.5,2.3938888888888887,1
2026-01,AGT0000049,23,6,1.0,1.0,5331.0,0.2608695652173913,0.16666666666666666,1.0,4.601111111111111,1
2026-01,AGT0000050,28,5,0.0,0.0,4092.0,0.17857142857142858,0.0,,18.95861111111111,1
2026-01,AGT0000051,20,6,1.0,1.0,5950.0,0.3,0.16666666666666666,1.0,7.513055555555555,1
