m,local_hour,calls,answer_rate
2025-12,10,1,0.0
2026-01,0,516,0.19186046511627908
2026-01,1,514,0.1867704280155642
2026-01,2,523,0.19120458891013384
2026-01,3,517,0.195357833655706
2026-01,4,486,0.19135802469135801
2026-01,5,541,0.2144177449168207
2026-01,6,525,0.19238095238095237
2026-01,7,554,0.2292418772563177
2026-01,8,515,0.1825242718446602
2026-01,9,557,0.19210053859964094
2026-01,10,520,0.20576923076923076
2026-01,11,563,0.22202486678507993
2026-01,12,517,0.172147001934236
2026-01,13,528,0.16666666666666666
2026-01,14,523,0.21032504780114722
2026-01,15,536,0.208955223880597
2026-01,16,565,0.19823008849557522
2026-01,17,528,0.23295454545454544
2026-01,18,538,0.19330855018587362
2026-01,19,538,0.2174721189591078
2026-01,20,543,0.1878453038674033
2026-01,21,506,0.22727272727272727
2026-01,22,507,0.20907297830374755
2026-01,23,523,0.18929254302103252
2026-02,0,477,0.1970649895178197
2026-02,1,539,0.20964749536178107
2026-02,2,488,0.20491803278688525
2026-02,3,465,0.1870967741935484
2026-02,4,448,0.17410714285714285
2026-02,5,464,0.21767241379310345
2026-02,6,458,0.19868995633187772
2026-02,7,527,0.19734345351043645
2026-02,8,511,0.1780821917808219
2026-02,9,487,0.21149897330595482
2026-02,10,481,0.1995841995841996
2026-02,11,498,0.15060240963855423
2026-02,12,500,0.188
2026-02,13,427,0.18266978922716628
2026-02,14,429,0.20512820512820512
2026-02,15,518,0.20270270270270271
2026-02,16,472,0.1906779661016949
2026-02,17,488,0.19467213114754098
2026-02,18,485,0.20618556701030927
2026-02,19,493,0.20081135902636918
2026-02,20,439,0.17539863325740318
2026-02,21,464,0.22198275862068967
2026-02,22,490,0.22448979591836735
2026-02,23,522,0.2049808429118774
2026-03,0,530,0.2037735849056604
2026-03,1,527,0.19924098671726756
2026-03,2,543,0.18968692449355432
2026-03,3,537,0.23277467411545624
2026-03,4,519,0.22157996146435452
2026-03,5,561,0.16399286987522282
2026-03,6,522,0.20306513409961685
2026-03,7,575,0.1808695652173913
2026-03,8,526,0.20342205323193915
2026-03,9,501,0.22355289421157684
2026-03,10,527,0.19165085388994307
2026-03,11,534,0.21348314606741572
2026-03,12,529,0.19659735349716445
2026-03,13,555,0.1981981981981982
2026-03,14,551,0.23411978221415608
2026-03,15,539,0.19666048237476808
2026-03,16,576,0.2204861111111111
2026-03,17,546,0.184981684981685
2026-03,18,533,0.21575984990619138
2026-03,19,513,0.18128654970760233
2026-03,20,507,0.1952662721893491
2026-03,21,551,0.17422867513611615
2026-03,22,508,0.1732283464566929
2026-03,23,534,0.20037453183520598
2026-04,0,504,0.1884920634920635
2026-04,1,523,0.21223709369024857
2026-04,2,541,0.1534195933456562
2026-04,3,548,0.18248175182481752
2026-04,4,523,0.21032504780114722
2026-04,5,512,0.201171875
2026-04,6,511,0.18395303326810175
2026-04,7,523,0.21414913957934992
2026-04,8,512,0.189453125
2026-04,9,484,0.18801652892561985
2026-04,10,531,0.1713747645951036
2026-04,11,540,0.1685185185185185
2026-04,12,472,0.17584745762711865
2026-04,13,505,0.19801980198019803
2026-04,14,488,0.19467213114754098
2026-04,15,492,0.1951219512195122
2026-04,16,511,0.2054794520547945
2026-04,17,491,0.1934826883910387
2026-04,18,509,0.1787819253438114
2026-04,19,495,0.18383838383838383
2026-04,20,542,0.21033210332103322
2026-04,21,459,0.22440087145969498
2026-04,22,517,0.21663442940038685
2026-04,23,507,0.1952662721893491
2026-05,0,531,0.2071563088512241
2026-05,1,493,0.21703853955375255
2026-05,2,522,0.2164750957854406
2026-05,3,540,0.21481481481481482
2026-05,4,538,0.22676579925650558
2026-05,5,528,0.23863636363636365
2026-05,6,517,0.20502901353965183
2026-05,7,531,0.18455743879472694
2026-05,8,539,0.15769944341372913
2026-05,9,539,0.18923933209647495
2026-05,10,526,0.17300380228136883
2026-05,11,561,0.20499108734402852
2026-05,12,547,0.19378427787934185
2026-05,13,552,0.19746376811594202
2026-05,14,535,0.2
2026-05,15,525,0.1980952380952381
2026-05,16,519,0.22157996146435452
2026-05,17,555,0.2018018018018018
2026-05,18,465,0.2129032258064516
2026-05,19,534,0.19288389513108614
2026-05,20,512,0.19921875
2026-05,21,511,0.21330724070450097
2026-05,22,586,0.20819112627986347
2026-05,23,540,0.20925925925925926
2026-06,0,489,0.19222903885480572
2026-06,1,490,0.19591836734693877
2026-06,2,493,0.2150101419878296
2026-06,3,524,0.22328244274809161
2026-06,4,479,0.20876826722338204
2026-06,5,475,0.23789473684210527
2026-06,6,495,0.2202020202020202
2026-06,7,477,0.22851153039832284
2026-06,8,535,0.20186915887850468
2026-06,9,512,0.185546875
2026-06,10,517,0.20889748549323017
2026-06,11,522,0.1839080459770115
2026-06,12,512,0.21875
2026-06,13,538,0.1895910780669145
2026-06,14,549,0.23497267759562843
2026-06,15,510,0.20980392156862746
2026-06,16,499,0.17034068136272545
2026-06,17,465,0.15053763440860216
2026-06,18,517,0.20502901353965183
2026-06,19,503,0.20874751491053678
2026-06,20,502,0.1892430278884462
2026-06,21,499,0.1903807615230461
2026-06,22,490,0.17959183673469387
2026-06,23,536,0.24067164179104478
2026-07,0,492,0.20528455284552846
2026-07,1,526,0.19771863117870722
2026-07,2,540,0.1925925925925926
2026-07,3,536,0.19402985074626866
2026-07,4,525,0.1980952380952381
2026-07,5,531,0.20527306967984935
2026-07,6,564,0.18085106382978725
2026-07,7,539,0.20408163265306123
2026-07,8,542,0.1937269372693727
2026-07,9,490,0.19795918367346937
2026-07,10,502,0.17330677290836655
2026-07,11,502,0.17928286852589642
2026-07,12,515,0.18446601941747573
2026-07,13,526,0.188212927756654
2026-07,14,524,0.183206106870229
2026-07,15,520,0.17884615384615385
2026-07,16,537,0.23649906890130354
2026-07,17,523,0.1988527724665392
2026-07,18,564,0.1879432624113475
2026-07,19,528,0.1856060606060606
2026-07,20,478,0.19665271966527198
2026-07,21,525,0.19428571428571428
2026-07,22,538,0.20074349442379183
2026-07,23,511,0.18395303326810175
2026-08,0,128,0.1796875
2026-08,1,109,0.1834862385321101
2026-08,2,137,0.16058394160583941
2026-08,3,123,0.24390243902439024
2026-08,4,124,0.21774193548387097
2026-08,5,149,0.2214765100671141
2026-08,6,127,0.1732283464566929
2026-08,7,131,0.13740458015267176
2026-08,8,130,0.16923076923076924
2026-08,9,138,0.18115942028985507
2026-08,10,143,0.21678321678321677
2026-08,11,120,0.18333333333333332
2026-08,12,127,0.2125984251968504
2026-08,13,133,0.2556390977443609
2026-08,14,141,0.1773049645390071
2026-08,15,137,0.21897810218978103
2026-08,16,129,0.24031007751937986
2026-08,17,133,0.24060150375939848
2026-08,18,146,0.17123287671232876
2026-08,19,136,0.19117647058823528
2026-08,20,151,0.16556291390728478
2026-08,21,119,0.17647058823529413
2026-08,22,157,0.20382165605095542
2026-08,23,142,0.19014084507042253
