campaign_name,channel,strategy_version,target_definition,targets,payers_30d,accounts,payer_rate
30DPD_W1,FIELD,legacy,DPD>=60,386,22,382,0.05759162303664921
30DPD_W1,FIELD,legacy,HIGH_RISK,359,19,354,0.05367231638418079
30DPD_W1,FIELD,legacy,PROMISE_BROKEN,366,16,365,0.043835616438356165
30DPD_W1,FIELD,v1,DPD>=30,395,20,392,0.05102040816326531
30DPD_W1,FIELD,v1,PROMISE_BROKEN,399,22,395,0.05569620253164557
30DPD_W1,FIELD,v2,PROMISE_BROKEN,380,17,379,0.044854881266490766
30DPD_W1,FIELD,v3,DPD>=60,346,22,344,0.06395348837209303
30DPD_W1,MIXED,legacy,DPD>=30,379,25,378,0.06613756613756613
30DPD_W1,MIXED,legacy,HIGH_RISK,377,19,376,0.05053191489361702
30DPD_W1,MIXED,v1,DPD>=30,387,15,384,0.0390625
30DPD_W1,MIXED,v1,PROMISE_BROKEN,406,23,403,0.05707196029776675
30DPD_W1,MIXED,v2,DPD>=60,372,15,370,0.04054054054054054
30DPD_W1,MIXED,v3,DPD>=60,363,16,362,0.04419889502762431
30DPD_W1,MIXED,v3,NPA,367,15,363,0.04132231404958678
30DPD_W1,SMS,legacy,HIGH_RISK,364,24,360,0.06666666666666667
30DPD_W1,SMS,legacy,PROMISE_BROKEN,402,21,400,0.0525
30DPD_W1,SMS,v1,NPA,379,21,377,0.05570291777188329
30DPD_W1,SMS,v2,HIGH_RISK,390,12,389,0.030848329048843187
30DPD_W1,SMS,v2,PROMISE_BROKEN,389,18,386,0.046632124352331605
30DPD_W1,SMS,v3,DPD>=30,389,19,388,0.04896907216494845
30DPD_W1,VOICE,v2,DPD>=60,369,13,367,0.035422343324250684
30DPD_W1,VOICE,v2,NPA,391,19,390,0.04871794871794872
30DPD_W1,VOICE,v3,NPA,372,20,370,0.05405405405405406
30DPD_W1,WHATSAPP,legacy,DPD>=60,349,14,345,0.04057971014492753
30DPD_W1,WHATSAPP,v2,DPD>=60,361,21,360,0.058333333333333334
30DPD_W1,WHATSAPP,v3,DPD>=30,754,33,746,0.04423592493297587
30DPD_W1,WHATSAPP,v3,DPD>=60,365,27,364,0.07417582417582418
60DPD_INTENT,FIELD,v2,DPD>=30,396,17,395,0.043037974683544304
60DPD_INTENT,MIXED,legacy,HIGH_RISK,377,17,376,0.04521276595744681
60DPD_INTENT,MIXED,v1,NPA,404,19,401,0.04738154613466334
60DPD_INTENT,MIXED,v3,DPD>=30,376,21,375,0.056
60DPD_INTENT,SMS,legacy,DPD>=60,377,18,375,0.048
60DPD_INTENT,SMS,legacy,HIGH_RISK,417,20,414,0.04830917874396135
60DPD_INTENT,SMS,legacy,PROMISE_BROKEN,774,42,757,0.05548216644649934
60DPD_INTENT,SMS,v2,HIGH_RISK,377,16,373,0.04289544235924933
60DPD_INTENT,SMS,v2,PROMISE_BROKEN,351,18,345,0.05217391304347826
60DPD_INTENT,VOICE,v1,HIGH_RISK,378,20,377,0.05305039787798409
60DPD_INTENT,VOICE,v3,PROMISE_BROKEN,365,18,364,0.04945054945054945
60DPD_INTENT,WHATSAPP,legacy,DPD>=60,396,18,394,0.04568527918781726
60DPD_INTENT,WHATSAPP,v1,DPD>=60,390,21,390,0.05384615384615385
60DPD_INTENT,WHATSAPP,v1,HIGH_RISK,339,13,337,0.03857566765578635
60DPD_INTENT,WHATSAPP,v1,NPA,386,16,382,0.041884816753926704
60DPD_INTENT,WHATSAPP,v2,HIGH_RISK,370,16,369,0.04336043360433604
60DPD_INTENT,WHATSAPP,v3,DPD>=30,359,19,355,0.05352112676056338
BOUNCE,FIELD,legacy,PROMISE_BROKEN,378,17,375,0.04533333333333334
BOUNCE,FIELD,v1,DPD>=60,372,24,370,0.06486486486486487
BOUNCE,FIELD,v2,DPD>=30,709,37,693,0.05339105339105339
BOUNCE,FIELD,v3,PROMISE_BROKEN,399,20,398,0.05025125628140704
BOUNCE,MIXED,legacy,DPD>=30,365,13,363,0.03581267217630854
BOUNCE,MIXED,legacy,DPD>=60,393,28,390,0.07179487179487179
BOUNCE,MIXED,v2,DPD>=60,373,21,371,0.05660377358490566
BOUNCE,MIXED,v3,DPD>=30,371,8,368,0.021739130434782608
BOUNCE,MIXED,v3,DPD>=60,353,19,347,0.05475504322766571
BOUNCE,SMS,v2,DPD>=60,356,12,352,0.03409090909090909
BOUNCE,SMS,v2,HIGH_RISK,378,23,375,0.06133333333333333
BOUNCE,SMS,v3,DPD>=60,358,24,356,0.06741573033707865
BOUNCE,SMS,v3,HIGH_RISK,378,16,374,0.0427807486631016
BOUNCE,VOICE,legacy,DPD>=30,394,21,390,0.05384615384615385
BOUNCE,VOICE,legacy,DPD>=60,365,21,364,0.057692307692307696
BOUNCE,VOICE,legacy,NPA,382,22,381,0.05774278215223097
BOUNCE,VOICE,v2,NPA,421,17,417,0.0407673860911271
BOUNCE,VOICE,v3,HIGH_RISK,359,20,356,0.056179775280898875
BOUNCE,WHATSAPP,legacy,PROMISE_BROKEN,378,22,373,0.058981233243967826
BOUNCE,WHATSAPP,v1,HIGH_RISK,387,17,383,0.044386422976501305
BOUNCE,WHATSAPP,v2,DPD>=60,379,24,379,0.0633245382585752
BOUNCE,WHATSAPP,v2,PROMISE_BROKEN,360,24,357,0.06722689075630252
BOUNCE,WHATSAPP,v3,DPD>=30,368,17,366,0.04644808743169399
BOUNCE,WHATSAPP,v3,PROMISE_BROKEN,389,24,385,0.06233766233766234
DIGITAL_FOLLOWUP,FIELD,legacy,DPD>=30,381,21,378,0.05555555555555555
DIGITAL_FOLLOWUP,FIELD,v1,NPA,377,20,374,0.053475935828877004
DIGITAL_FOLLOWUP,FIELD,v3,DPD>=60,379,21,378,0.05555555555555555
DIGITAL_FOLLOWUP,MIXED,v2,HIGH_RISK,403,25,402,0.06218905472636816
DIGITAL_FOLLOWUP,MIXED,v2,PROMISE_BROKEN,380,18,380,0.04736842105263158
DIGITAL_FOLLOWUP,SMS,legacy,NPA,372,19,369,0.051490514905149054
DIGITAL_FOLLOWUP,SMS,v3,PROMISE_BROKEN,725,29,715,0.04055944055944056
DIGITAL_FOLLOWUP,VOICE,legacy,NPA,384,23,384,0.059895833333333336
DIGITAL_FOLLOWUP,VOICE,v1,HIGH_RISK,700,31,691,0.04486251808972504
DIGITAL_FOLLOWUP,VOICE,v2,DPD>=30,387,19,386,0.04922279792746114
DIGITAL_FOLLOWUP,VOICE,v3,DPD>=30,378,18,377,0.04774535809018567
DIGITAL_FOLLOWUP,VOICE,v3,NPA,746,45,734,0.06130790190735695
DIGITAL_FOLLOWUP,WHATSAPP,legacy,DPD>=30,354,14,351,0.039886039886039885
DIGITAL_FOLLOWUP,WHATSAPP,legacy,DPD>=60,1109,56,1088,0.051470588235294115
DIGITAL_FOLLOWUP,WHATSAPP,legacy,PROMISE_BROKEN,339,9,337,0.026706231454005934
DIGITAL_FOLLOWUP,WHATSAPP,v1,DPD>=60,388,13,384,0.033854166666666664
NPA_RECOVERY,FIELD,legacy,DPD>=60,397,18,395,0.04556962025316456
NPA_RECOVERY,FIELD,v2,HIGH_RISK,362,23,361,0.06371191135734072
NPA_RECOVERY,MIXED,legacy,HIGH_RISK,371,21,368,0.057065217391304345
NPA_RECOVERY,MIXED,v1,DPD>=60,399,24,397,0.060453400503778336
NPA_RECOVERY,MIXED,v1,NPA,389,14,386,0.03626943005181347
NPA_RECOVERY,MIXED,v2,DPD>=30,386,23,383,0.06005221932114883
NPA_RECOVERY,MIXED,v2,NPA,361,14,359,0.03899721448467967
NPA_RECOVERY,MIXED,v3,HIGH_RISK,396,15,394,0.03807106598984772
NPA_RECOVERY,SMS,legacy,DPD>=60,369,21,367,0.05722070844686648
NPA_RECOVERY,SMS,legacy,NPA,395,25,390,0.0641025641025641
NPA_RECOVERY,SMS,v1,DPD>=30,380,29,378,0.07671957671957672
NPA_RECOVERY,SMS,v1,HIGH_RISK,374,15,369,0.04065040650406504
NPA_RECOVERY,SMS,v1,NPA,376,24,376,0.06382978723404255
NPA_RECOVERY,SMS,v2,PROMISE_BROKEN,369,14,368,0.03804347826086957
NPA_RECOVERY,SMS,v3,DPD>=60,745,35,739,0.04736129905277402
NPA_RECOVERY,SMS,v3,PROMISE_BROKEN,369,13,369,0.03523035230352303
NPA_RECOVERY,VOICE,legacy,HIGH_RISK,362,21,360,0.058333333333333334
NPA_RECOVERY,VOICE,v1,NPA,364,18,363,0.049586776859504134
NPA_RECOVERY,VOICE,v3,HIGH_RISK,378,23,374,0.06149732620320856
NPA_RECOVERY,WHATSAPP,legacy,DPD>=60,363,19,361,0.05263157894736842
NPA_RECOVERY,WHATSAPP,legacy,HIGH_RISK,379,16,376,0.0425531914893617
NPA_RECOVERY,WHATSAPP,legacy,PROMISE_BROKEN,352,22,351,0.06267806267806268
NPA_RECOVERY,WHATSAPP,v1,DPD>=60,362,27,360,0.075
NPA_RECOVERY,WHATSAPP,v1,PROMISE_BROKEN,379,21,377,0.05570291777188329
NPA_RECOVERY,WHATSAPP,v2,DPD>=30,348,13,345,0.03768115942028986
NPA_RECOVERY,WHATSAPP,v3,HIGH_RISK,348,10,345,0.028985507246376812
NPA_RECOVERY,WHATSAPP,v3,PROMISE_BROKEN,372,15,372,0.04032258064516129
