dpd_bucket,accounts,cash,principal,yield,month,common_cohort_flag
0-29,2047,9471179.68,827241889.12,0.011449105521089136,2026-01,True
30-59,1095,4764999.66,447569787.37,0.010646383635499593,2026-01,True
60-89,1084,4377340.9,429939790.9,0.01018128815394556,2026-01,True
90-179,1000,4372495.04,405682671.22,0.010778116370735525,2026-01,True
180-364,506,1771278.77,200059587.65,0.008853755977438154,2026-01,True
0-29,2013,8612466.89,808200136.86,0.010656354159331069,2026-07,True
30-59,1062,5533204.96,421968636.77,0.013112834646561546,2026-07,True
60-89,1071,5968308.39,424717923.63,0.014052405274045814,2026-07,True
90-179,1028,4885205.57,417757255.88,0.011693885626736468,2026-07,True
180-364,492,2098344.84,201021502.15,0.010438409909175977,2026-07,True
