m,dpd_bucket,targeted_accounts,paying_accounts,cash,principal,recovery_yield
2026-01,0-29,2047,120,9471179.68,827241889.12,0.011449105521089136
2026-01,30-59,1095,65,4764999.66,447569787.37,0.010646383635499593
2026-01,60-89,1084,48,4377340.9,429939790.9,0.01018128815394556
2026-01,90-179,1000,63,4372495.04,405682671.22,0.010778116370735525
2026-01,180-364,506,26,1771278.77,200059587.65,0.008853755977438154
2026-02,0-29,1933,101,7497054.04,789927267.15,0.009490815612744733
2026-02,30-59,931,50,3495884.24,372124270.34,0.00939439998580556
2026-02,60-89,948,42,3661362.61,381214729.82,0.00960446258655536
2026-02,90-179,903,43,3379472.99,364399747.16,0.009274081599502722
2026-02,180-364,445,26,2221016.47,184555678.64000002,0.01203439789209837
2026-03,0-29,2021,126,9843649.2,825016920.27,0.011931451292875917
2026-03,30-59,1020,64,5601702.84,425386947.62,0.013168487823476956
2026-03,60-89,1008,54,4580480.43,406930462.04,0.0112561748438232
2026-03,90-179,1075,73,6062461.46,431244349.18,0.014058065854144208
2026-03,180-364,542,24,1820271.43,215194428.54,0.008458729356283733
2026-04,0-29,2026,100,7529489.68,816873555.71,0.009217448193013926
2026-04,30-59,1014,52,3983297.86,393520893.51,0.010122201706931167
2026-04,60-89,1083,69,5568591.27,428109659.09,0.013007394605010148
2026-04,90-179,992,63,4673396.62,394921482.83,0.011833736130307542
2026-04,180-364,470,23,1328707.0,182211018.37,0.00729213310965592
2026-05,0-29,2146,119,9177861.4,868081382.6,0.010572581769362785
2026-05,30-59,1049,43,3482547.19,426000473.39,0.00817498431935252
2026-05,60-89,1030,71,5173764.94,394609834.36,0.013111089713187451
2026-05,90-179,1067,53,4068992.54,440729350.52,0.009232406544286531
2026-05,180-364,508,37,2334843.79,209044935.79,0.011169099988844078
2026-06,0-29,1984,104,8443065.93,801045262.36,0.01054006100120417
2026-06,30-59,961,49,3267461.29,400256183.36,0.008163424890955819
2026-06,60-89,1041,62,4823163.97,412708801.74,0.011686603119839727
2026-06,90-179,1057,66,5084871.45,426639162.52,0.011918435757199461
2026-06,180-364,492,28,2186920.9,192524543.31,0.011359179782489624
2026-07,0-29,2013,111,8612466.89,808200136.86,0.010656354159331069
2026-07,30-59,1062,67,5533204.96,421968636.77,0.013112834646561546
2026-07,60-89,1071,76,5968308.39,424717923.63,0.014052405274045814
2026-07,90-179,1028,63,4885205.57,417757255.88,0.011693885626736468
2026-07,180-364,492,31,2098344.84,201021502.15,0.010438409909175977
2026-08,0-29,575,12,854422.21,233213313.53,0.0036636939678406874
2026-08,30-59,281,3,186823.51,111529163.98,0.0016751090327683455
2026-08,60-89,288,0,0.0,110465248.19,0.0
2026-08,90-179,275,3,218984.05,111992533.67,0.0019553450826040233
2026-08,180-364,147,0,0.0,59672323.31,0.0
