month,state,targeted_accounts,paying_accounts,cash,principal,yield
2026-01,Delhi,566,20,1367465.89,239404232.49,0.005711953693454936
2026-01,Haryana,517,21,1519788.24,203580530.78,0.007465292649434952
2026-01,Karnataka,464,28,2269002.9,192276396.31,0.01180073552211667
2026-01,Maharashtra,1049,67,5469285.48,426228053.92,0.012831828946262993
2026-01,Odisha,520,26,2112753.29,214471281.66,0.009850984587061566
2026-01,Rajasthan,490,37,3219681.2800000003,206308111.29,0.015606178835471033
2026-01,Tamil Nadu,492,21,1818543.86,186808441.23,0.009734805601000625
2026-01,Telangana,532,41,3176615.39,213032747.18,0.014911394759961241
2026-01,West Bengal,549,35,2251451.64,211182101.38,0.010661185892590156
2026-01,,553,26,1552706.08,217201830.02,0.007148678626957362
2026-02,Delhi,528,28,2455894.2199999997,212401899.63,0.011562487078873212
2026-02,Haryana,430,19,1125796.99,172576097.39,0.0065234815656761685
2026-02,Karnataka,379,17,1088260.3800000001,155464415.44,0.007000060926611234
2026-02,Maharashtra,961,50,3902645.93,387925613.91,0.010060294525706226
2026-02,Odisha,527,20,1551213.78,211616401.59,0.0073303097885835285
2026-02,Rajasthan,459,31,2046625.99,189998671.45,0.010771791057173732
2026-02,Tamil Nadu,474,24,1399707.47,190573306.21,0.007344719456446901
2026-02,Telangana,484,29,2781881.39,195627482.69,0.014220299478107035
2026-02,West Bengal,453,19,1697194.96,176397278.09,0.009621435083222036
2026-02,,465,25,2205569.2399999998,199640526.71,0.011047702970669045
2026-03,Delhi,537,40,3377820.29,216257603.78,0.01561942900947092
2026-03,Haryana,504,34,2749078.71,202421031.97,0.013580993453325689
2026-03,Karnataka,497,26,2062036.98,199721484.42,0.010324562657784397
2026-03,Maharashtra,984,59,4650130.79,409161085.8,0.011365036782293142
2026-03,Odisha,534,28,2213653.18,216236632.1,0.010237179327581657
2026-03,Rajasthan,488,31,2377677.05,201223155.99,0.011816120457419726
2026-03,Tamil Nadu,497,24,1789872.27,201968094.65,0.00886215356490714
2026-03,Telangana,583,33,2923242.81,234998718.60999998,0.012439398934984688
2026-03,West Bengal,509,33,3063376.63,200146159.64,0.015305697773617297
