account_id,first_target_date
ACC0000008,2026-07-13
ACC0000023,2026-07-16
ACC0000027,2026-07-18
ACC0000032,2026-07-23
ACC0000036,2026-07-18
ACC0000041,2026-07-24
ACC0000042,2026-07-08
ACC0000044,2026-07-17
ACC0000050,2026-07-08
ACC0000056,2026-07-15
ACC0000078,2026-07-24
ACC0000081,2026-07-19
ACC0000082,2026-07-25
ACC0000090,2026-07-26
ACC0000095,2026-07-11
ACC0000096,2026-07-12
ACC0000099,2026-07-28
ACC0000103,2026-07-21
ACC0000118,2026-07-14
ACC0000126,2026-07-04
ACC0000135,2026-07-05
ACC0000136,2026-07-05
ACC0000137,2026-07-30
ACC0000140,2026-07-14
ACC0000145,2026-07-20
ACC0000148,2026-07-06
ACC0000150,2026-07-06
ACC0000153,2026-07-23
ACC0000163,2026-07-19
ACC0000166,2026-07-18
ACC0000170,2026-07-09
ACC0000172,2026-07-02
ACC0000174,2026-07-05
ACC0000176,2026-07-03
ACC0000182,2026-07-06
ACC0000186,2026-07-30
ACC0000192,2026-07-02
ACC0000194,2026-07-14
ACC0000197,2026-07-19
ACC0000202,2026-07-01
ACC0000209,2026-07-22
ACC0000213,2026-07-02
ACC0000215,2026-07-31
ACC0000224,2026-07-12
ACC0000227,2026-07-21
ACC0000232,2026-07-02
ACC0000236,2026-07-03
ACC0000249,2026-07-05
ACC0000251,2026-07-04
ACC0000259,2026-07-12
ACC0000261,2026-07-09
ACC0000263,2026-07-27
ACC0000269,2026-07-27
ACC0000270,2026-07-20
ACC0000278,2026-07-30
ACC0000282,2026-07-26
ACC0000285,2026-07-26
ACC0000286,2026-07-02
ACC0000288,2026-07-22
ACC0000289,2026-07-15
ACC0000291,2026-07-14
ACC0000292,2026-07-23
ACC0000294,2026-07-13
ACC0000297,2026-07-04
ACC0000306,2026-07-13
ACC0000312,2026-07-05
ACC0000314,2026-07-11
ACC0000315,2026-07-10
ACC0000317,2026-07-05
ACC0000318,2026-07-06
ACC0000320,2026-07-02
ACC0000326,2026-07-20
ACC0000337,2026-07-11
ACC0000341,2026-07-17
ACC0000345,2026-07-20
ACC0000357,2026-07-18
ACC0000369,2026-07-25
ACC0000372,2026-07-04
ACC0000377,2026-07-15
ACC0000380,2026-07-03
ACC0000381,2026-07-04
ACC0000385,2026-07-05
ACC0000390,2026-07-23
ACC0000392,2026-07-09
ACC0000405,2026-07-09
ACC0000414,2026-07-23
ACC0000423,2026-07-16
ACC0000428,2026-07-20
ACC0000433,2026-07-20
ACC0000439,2026-07-05
ACC0000442,2026-07-01
ACC0000447,2026-07-28
ACC0000450,2026-07-13
ACC0000452,2026-07-30
ACC0000471,2026-07-31
ACC0000473,2026-07-12
ACC0000480,2026-07-12
ACC0000481,2026-07-12
ACC0000484,2026-07-17
ACC0000489,2026-07-10
ACC0000499,2026-07-05
ACC0000501,2026-07-08
ACC0000511,2026-07-29
ACC0000513,2026-07-31
ACC0000517,2026-07-30
ACC0000523,2026-07-19
ACC0000524,2026-07-29
ACC0000535,2026-07-13
ACC0000538,2026-07-03
ACC0000544,2026-07-20
ACC0000552,2026-07-03
ACC0000554,2026-07-16
ACC0000572,2026-07-19
ACC0000577,2026-07-09
ACC0000590,2026-07-16
ACC0000591,2026-07-02
ACC0000598,2026-07-11
ACC0000605,2026-07-14
ACC0000606,2026-07-19
ACC0000610,2026-07-31
ACC0000616,2026-07-25
ACC0000618,2026-07-04
ACC0000619,2026-07-11
ACC0000623,2026-07-16
ACC0000630,2026-07-28
ACC0000632,2026-07-18
ACC0000633,2026-07-04
