month,loan_type,targeted_accounts,paying_accounts,cash,principal,yield
2026-01,AUTO,1187,56,4365755.2,477543040.4,0.009142118784399314
2026-01,BNPL,1126,67,5750464.23,454543380.69,0.012651079026320339
2026-01,CONSUMER,1108,77,5772135.9799999995,450761186.44,0.012805308339848196
2026-01,CREDIT_CARD,1182,59,4460271.08,475125383.22,0.009387566393047738
2026-01,PERSONAL,1129,63,4408667.56,452520735.51,0.009742465292847504
2026-02,AUTO,1064,64,4765355.17,426015625.8,0.011185869440941994
2026-02,BNPL,1018,44,3367612.4,409880158.55,0.008216090312625355
2026-02,CONSUMER,1010,47,3438857.59,411627267.38,0.00835429978166477
2026-02,CREDIT_CARD,1021,54,4282060.19,412993225.25,0.010368354559346371
2026-02,PERSONAL,1047,53,4400905.0,431705416.13,0.010194231611573642
2026-03,AUTO,1121,67,5454239.22,455701045.78,0.011968897746688863
2026-03,BNPL,1103,70,5760305.73,448199317.99,0.012852107307598629
2026-03,CONSUMER,1132,61,4677755.88,454004899.76,0.010303315850716139
2026-03,CREDIT_CARD,1168,69,6279137.34,477851038.63,0.013140365579202885
2026-03,PERSONAL,1142,74,5737127.19,468016805.49,0.012258378593891292
2026-04,AUTO,1107,75,5674308.51,440662856.44,0.012876756974348268
2026-04,BNPL,1110,62,4968649.73,445874544.54,0.011143604834238874
2026-04,CONSUMER,1117,58,4803380.0,446292903.82,0.010762841978633189
2026-04,CREDIT_CARD,1136,58,3795878.7600000002,445286414.58,0.008524577969845145
2026-04,PERSONAL,1115,54,3841265.43,437519890.13,0.008779636118619996
2026-05,AUTO,1231,71,5968703.63,487464184.71,0.012244394187751197
2026-05,BNPL,1140,61,4765339.24,465390518.25,0.010239442045186103
2026-05,CONSUMER,1127,61,5023413.29,454486827.42,0.011052934841954765
2026-05,CREDIT_CARD,1177,69,4835896.68,469740893.83,0.010294817299321865
2026-05,PERSONAL,1125,61,3644657.02,461383552.45,0.007899408205269673
2026-06,AUTO,1096,49,4233043.83,430176319.58,0.009840253024929189
2026-06,BNPL,1087,55,4250050.6,439579653.64,0.009668442487742254
2026-06,CONSUMER,1087,62,4663307.11,436946830.3,0.010672481836744886
2026-06,CREDIT_CARD,1133,73,5287824.58,464703853.59,0.011378912697085904
2026-06,PERSONAL,1132,70,5371257.42,461767296.18,0.011631957188034052
2026-07,AUTO,1152,59,4713815.34,456191555.18,0.010332973695973097
2026-07,BNPL,1159,70,5709903.68,471483270.24,0.012110511741155686
2026-07,CONSUMER,1135,76,6178338.64,452680915.11,0.01364833027806945
2026-07,CREDIT_CARD,1109,79,5494224.4399999995,448204025.72,0.012258311225951207
2026-07,PERSONAL,1111,64,5001248.55,445105689.04,0.011236092175740661
2026-08,AUTO,314,3,227293.76,118529609.56,0.0019176116486315034
2026-08,BNPL,306,4,284675.45,126283287.19,0.0022542606890782824
2026-08,CONSUMER,322,3,92215.6,123819242.62,0.0007447598454709398
2026-08,CREDIT_CARD,325,5,485630.66000000003,130845817.88,0.0037114725397289867
2026-08,PERSONAL,299,3,170414.3,127394625.42999999,0.0013376883006233115
