m,priority_band,targeted_accounts,cash,principal,paying_accounts,yield
2026-01,1-4,2409,11046677.69,966862206.95,138,0.01142528646853115
2026-01,5-7,1859,7451666.7700000005,746521314.81,97,0.0099818539968903
2026-01,8+,1860,7792330.56,763845543.9,106,0.010201447952703046
2026-02,1-4,2158,8285269.5200000005,857700632.11,105,0.00965986173942497
2026-02,5-7,1658,7072007.61,679848539.61,89,0.010402328162765354
2026-02,8+,1720,6577464.44,704936473.14,88,0.009330577563538438
2026-03,1-4,2411,11700532.07,972032419.77,146,0.01203718294989436
2026-03,5-7,1837,9443316.82,751228780.61,115,0.012570493921082202
2026-03,8+,1828,8689870.05,744239493.7,101,0.011676174300826412
2026-04,1-4,2399,9642609.41,944282084.04,127,0.010211577210853381
2026-04,5-7,1794,7178856.6899999995,718614292.6,99,0.009989860713772282
2026-04,8+,1782,8205456.0,710976454.74,108,0.011541107930220682
2026-05,1-4,2468,9901178.3,1001570390.81,138,0.00988565395987058
2026-05,5-7,1839,8019156.44,748463566.33,105,0.0107141573761846
2026-05,8+,1921,8005718.41,765201201.23,104,0.010462239731369272
2026-06,1-4,2388,9502643.18,956035531.1899999,129,0.009939633904789956
2026-06,5-7,1823,7942565.59,741338895.66,99,0.010713812045338434
2026-06,8+,1733,8485913.05,698513073.93,108,0.012148538612536262
2026-07,1-4,2374,12094761.52,939501674.56,150,0.012873592296324943
2026-07,5-7,1810,8689886.5,719526821.44,110,0.012077223865830043
2026-07,8+,1826,8380802.16,749021989.26,113,0.011188993487734392
2026-08,1-4,651,292402.92,263474632.60999998,4,0.0011097953419782168
2026-08,5-7,449,701212.3200000001,188446067.27,9,0.0037210238990836755
2026-08,8+,484,266614.53,183334617.56,5,0.0014542508858849037
