month,risk_segment,targeted_accounts,paying_accounts,cash,principal,yield
2026-01,HIGH,1433,86,6825682.47,578573925.27,0.011797424964864594
2026-01,LOW,1467,84,6627872.75,598257844.35,0.011078622390987792
2026-01,MEDIUM,1414,75,5684354.63,561896074.22,0.0101163807522428
2026-01,NPA,1418,77,5619384.2,571765882.42,0.00982812086691138
2026-02,HIGH,1286,65,5105876.04,526558578.26,0.00969669140491879
2026-02,LOW,1325,71,5599067.93,533666030.17,0.010491707572648777
2026-02,MEDIUM,1273,60,4704267.96,511909304.31,0.0091896512143706
2026-02,NPA,1276,66,4845578.42,520087780.37,0.00931684727634394
2026-03,HIGH,1411,74,6252065.55,573533645.94,0.010900956891122054
2026-03,LOW,1426,98,7766402.5,589484222.96,0.013174911554040008
2026-03,MEDIUM,1472,89,8043741.21,593976003.19,0.013542198955514001
2026-03,NPA,1357,80,5846356.1,546779235.56,0.010692352086143657
2026-04,HIGH,1411,87,6909692.97,552011106.5,0.012517307874130608
2026-04,LOW,1396,93,6521513.45,552561248.72,0.011802335876985565
2026-04,MEDIUM,1380,71,5514217.8,552527641.09,0.009979985415972703
2026-04,NPA,1398,56,4138058.21,558536613.2,0.007408750137778791
2026-05,HIGH,1423,92,6918440.92,569746562.44,0.012143014764970312
2026-05,LOW,1470,80,5459745.45,601672049.1,0.009074287991550977
2026-05,MEDIUM,1466,70,5315288.45,584184610.79,0.009098645106060002
2026-05,NPA,1441,81,6544535.04,582862754.33,0.011228260840792502
2026-06,HIGH,1374,88,6867507.2299999995,554283730.62,0.012389876972066772
2026-06,LOW,1405,78,6503473.89,570776659.64,0.011394078191813008
2026-06,MEDIUM,1422,80,5719766.7700000005,572086216.13,0.009998085268847396
2026-06,NPA,1334,63,4714735.65,536027346.9,0.008795699841186593
2026-07,HIGH,1421,86,6045626.9,568329104.62,0.010637545835422714
2026-07,LOW,1424,88,7395027.68,573323871.63,0.012898516956873638
2026-07,MEDIUM,1424,91,7583719.7299999995,571287022.38,0.013274797838757095
2026-07,NPA,1397,83,6073156.34,560725456.66,0.01083089106775208
2026-08,HIGH,370,5,420712.74,143098984.98,0.0029400120487143933
2026-08,LOW,388,5,327796.52,148164331.59,0.002212384832991234
2026-08,MEDIUM,421,5,343152.94999999995,170582173.48,0.002011657742420741
2026-08,NPA,387,3,168567.56,165027092.63,0.0010214538553250643
