account_id,pre7_payer,post7_payer,pre7_cash,post7_cash
ACC0000008,False,False,0.0,0.0
ACC0000023,False,False,0.0,0.0
ACC0000027,False,False,0.0,0.0
ACC0000032,False,False,0.0,0.0
ACC0000036,False,False,0.0,0.0
ACC0000041,False,False,0.0,0.0
ACC0000042,False,False,0.0,0.0
ACC0000044,False,False,0.0,0.0
ACC0000050,False,False,0.0,0.0
ACC0000056,False,False,0.0,0.0
ACC0000078,False,False,0.0,0.0
ACC0000081,False,False,0.0,0.0
ACC0000082,False,False,0.0,0.0
ACC0000090,False,False,0.0,0.0
ACC0000095,False,False,0.0,0.0
ACC0000096,False,False,0.0,0.0
ACC0000099,False,False,0.0,0.0
ACC0000103,False,False,0.0,0.0
ACC0000118,False,False,0.0,0.0
ACC0000126,False,False,0.0,0.0
ACC0000135,False,False,0.0,0.0
ACC0000136,False,False,0.0,0.0
ACC0000137,False,False,0.0,0.0
ACC0000140,False,False,0.0,0.0
ACC0000145,False,False,0.0,0.0
ACC0000148,False,False,0.0,0.0
ACC0000150,False,False,0.0,0.0
ACC0000153,False,False,0.0,0.0
ACC0000163,False,False,0.0,0.0
ACC0000166,False,False,0.0,0.0
ACC0000170,False,False,0.0,0.0
ACC0000172,False,False,0.0,0.0
ACC0000174,False,False,0.0,0.0
ACC0000176,False,False,0.0,0.0
ACC0000182,False,False,0.0,0.0
ACC0000186,False,False,0.0,0.0
ACC0000192,False,False,0.0,0.0
ACC0000194,False,False,0.0,0.0
ACC0000197,False,False,0.0,0.0
ACC0000202,False,False,0.0,0.0
ACC0000209,False,False,0.0,0.0
ACC0000213,False,False,0.0,0.0
ACC0000215,False,False,0.0,0.0
ACC0000224,False,False,0.0,0.0
ACC0000227,False,False,0.0,0.0
ACC0000232,False,False,0.0,0.0
ACC0000236,False,False,0.0,0.0
ACC0000249,False,False,0.0,0.0
ACC0000251,False,False,0.0,0.0
ACC0000259,False,False,0.0,0.0
ACC0000261,False,False,0.0,0.0
ACC0000263,False,False,0.0,0.0
ACC0000269,False,False,0.0,0.0
ACC0000270,False,False,0.0,0.0
ACC0000278,False,False,0.0,0.0
ACC0000282,False,False,0.0,0.0
ACC0000285,False,False,0.0,0.0
ACC0000286,False,False,0.0,0.0
ACC0000288,False,False,0.0,0.0
