disposition_version,disposition_code,normalized_outcome,rows,unique_calls
legacy,CALLBACK,RPC_CALLBACK,256,256
legacy,DISPUTE,RPC_DISPUTE,261,261
legacy,NO_CONTACT,NO_CONTACT,263,263
legacy,PAID,RPC_PAID,247,247
legacy,PROMISE_TO_PAY,PTP,245,245
legacy,PTP,PTP,255,255
legacy,PTP_BROKEN,PTP_BROKEN,270,270
legacy,REFUSED,RPC_REFUSED,225,225
legacy,WRONG_NUMBER,WRONG_NUMBER,250,250
v1,CALLBACK,RPC_CALLBACK,261,261
v1,DISPUTE,RPC_DISPUTE,259,259
v1,NO_CONTACT,NO_CONTACT,256,256
v1,PAID,RPC_PAID,257,257
v1,PROMISE_TO_PAY,PTP,255,255
v1,PTP,PTP,247,247
v1,PTP_BROKEN,PTP_BROKEN,251,251
v1,REFUSED,RPC_REFUSED,271,271
v1,WRONG_NUMBER,WRONG_NUMBER,257,257
v2,CALLBACK,RPC_CALLBACK,227,227
v2,DISPUTE,RPC_DISPUTE,263,263
v2,NO_CONTACT,NO_CONTACT,262,262
v2,PAID,RPC_PAID,253,253
v2,PROMISE_TO_PAY,PTP,254,254
v2,PTP,PTP,271,271
v2,PTP_BROKEN,PTP_BROKEN,287,287
v2,REFUSED,RPC_REFUSED,237,237
v2,WRONG_NUMBER,WRONG_NUMBER,249,249
