call_id,vendor_id,timezone,event_at,vendor_timezone,timezone_conflict
CALL0000001,VND0000013,Asia/Dubai,2026-07-15 15:36:22,Asia/Kolkata,True
CALL0000002,VND0000001,Asia/Kolkata,2026-06-10 06:48:27,Asia/Kolkata,False
CALL0000003,VND0000008,Asia/Dubai,2026-04-07 00:35:35,Asia/Kolkata,True
CALL0000004,VND0000001,Asia/Dubai,2026-02-12 14:16:57,Asia/Kolkata,True
CALL0000005,VND0000006,Asia/Kolkata,2026-05-24 15:33:12,UTC,True
CALL0000006,VND0000011,Asia/Dubai,2026-02-04 11:37:08,UTC,True
CALL0000007,VND0000009,Asia/Kolkata,2026-02-10 10:59:05,Asia/Kolkata,False
CALL0000008,VND0000003,Asia/Dubai,2026-06-14 23:37:56,UTC,True
CALL0000009,VND0000012,UTC,2026-03-17 16:24:42,UTC,False
CALL0000010,VND0000014,UTC,2026-06-24 04:26:34,Asia/Kolkata,True
CALL0000011,VND0000011,Asia/Dubai,2026-07-23 14:50:00,UTC,True
CALL0000012,VND0000008,UTC,2026-02-12 20:40:45,Asia/Kolkata,True
CALL0000013,VND0000012,Asia/Dubai,2026-05-30 17:57:19,UTC,True
CALL0000014,VND0000008,Asia/Dubai,2026-01-10 17:09:15,Asia/Kolkata,True
CALL0000015,VND0000007,Asia/Dubai,2026-06-13 22:35:10,UTC,True
CALL0000016,VND0000012,UTC,2026-01-01 10:44:31,UTC,False
CALL0000017,VND0000009,Asia/Dubai,2026-01-21 16:48:34,Asia/Kolkata,True
CALL0000018,VND0000003,UTC,2026-04-28 11:02:01,UTC,False
CALL0000019,VND0000013,Asia/Kolkata,2026-01-05 08:28:07,Asia/Kolkata,False
CALL0000020,VND0000012,UTC,2026-04-26 16:31:37,UTC,False
CALL0000021,VND0000001,Asia/Kolkata,2026-02-14 04:38:51,Asia/Kolkata,False
CALL0000022,VND0000001,Asia/Kolkata,2026-08-05 05:55:16,Asia/Kolkata,False
CALL0000023,VND0000007,Asia/Kolkata,2026-07-11 16:42:23,UTC,True
CALL0000024,VND0000005,Asia/Dubai,2026-08-04 17:24:59,Asia/Kolkata,True
CALL0000025,VND0000015,Asia/Dubai,2026-06-19 04:18:04,Asia/Kolkata,True
CALL0000026,VND0000003,Asia/Dubai,2026-04-08 22:43:02,UTC,True
CALL0000027,VND0000005,Asia/Kolkata,2026-01-18 12:26:51,Asia/Kolkata,False
CALL0000028,VND0000002,Asia/Kolkata,2026-04-28 20:47:37,UTC,True
CALL0000029,VND0000015,Asia/Dubai,2026-03-24 00:14:47,Asia/Kolkata,True
CALL0000030,VND0000008,UTC,2026-06-18 19:24:12,Asia/Kolkata,True
CALL0000031,VND0000010,UTC,2026-02-09 19:57:02,UTC,False
CALL0000032,VND0000005,Asia/Kolkata,2026-03-29 20:46:57,Asia/Kolkata,False
CALL0000033,VND0000013,Asia/Dubai,2026-04-26 20:30:26,Asia/Kolkata,True
CALL0000034,VND0000014,Asia/Kolkata,2026-01-13 07:21:05,Asia/Kolkata,False
CALL0000035,VND0000012,Asia/Kolkata,2026-06-12 05:33:37,UTC,True
CALL0000036,VND0000012,Asia/Kolkata,2026-04-23 22:06:26,UTC,True
CALL0000037,VND0000011,Asia/Kolkata,2026-04-20 01:18:52,UTC,True
CALL0000038,VND0000011,UTC,2026-01-17 19:04:20,UTC,False
CALL0000039,VND0000008,Asia/Kolkata,2026-04-28 03:56:21,Asia/Kolkata,False
CALL0000040,VND0000007,UTC,2026-07-09 10:23:27,UTC,False
CALL0000041,VND0000005,Asia/Dubai,2026-01-05 17:53:57,Asia/Kolkata,True
CALL0000042,VND0000005,UTC,2026-06-20 19:03:46,Asia/Kolkata,True
CALL0000043,VND0000002,Asia/Dubai,2026-03-05 03:21:54,UTC,True
CALL0000044,VND0000002,Asia/Kolkata,2026-01-01 20:35:27,UTC,True
CALL0000045,VND0000002,Asia/Kolkata,2026-02-16 06:10:11,UTC,True
CALL0000046,VND0000002,Asia/Dubai,2026-08-02 14:41:22,UTC,True
CALL0000047,VND0000007,Asia/Kolkata,2026-03-31 09:36:09,UTC,True
CALL0000048,VND0000004,UTC,2026-02-07 04:04:49,UTC,False
CALL0000049,VND0000001,Asia/Kolkata,2026-05-05 04:32:55,Asia/Kolkata,False
CALL0000050,VND0000004,UTC,2026-04-24 23:15:21,UTC,False
CALL0000051,VND0000002,Asia/Dubai,2026-05-21 03:10:57,UTC,True
CALL0000052,VND0000012,Asia/Kolkata,2026-04-07 14:27:38,UTC,True
CALL0000053,VND0000002,Asia/Kolkata,2026-05-12 22:43:38,UTC,True
CALL0000054,VND0000001,Asia/Dubai,2026-07-08 17:08:17,Asia/Kolkata,True
