vendor_id,n,kolkata,utc,dubai
VND0000001,6128,2074,2006,2048
VND0000002,6026,2074,1935,2017
VND0000003,6068,1990,2053,2025
VND0000004,6023,2012,2030,1981
VND0000005,6153,2043,2036,2074
VND0000006,5989,1935,2024,2030
VND0000007,6138,2064,2052,2022
VND0000008,5989,1999,1989,2001
VND0000009,6061,1936,2089,2036
VND0000010,6248,2116,2033,2099
VND0000011,6177,2068,1998,2111
VND0000012,6094,2044,2082,1968
VND0000013,5974,2024,1954,1996
VND0000014,6132,2096,2048,1988
VND0000015,6150,2010,2072,2068
